lang,word_original,word_translation
te_translit,flower,"puvvu,puuvu,malli,malle,pushpam"
te_translit,tea,"tii,chaay,coffey,kappu,paneeyam"
te_translit,foot,"paadam,kaalu,paadamu,adugu,paadamulu"
te_translit,gold,"bangaaram,swarnam,pasidi,kanakam,hemam"
te_translit,door,"talupu,dwaaram,gummam,katta,dwaarakam"
te_translit,snow,"manchu,himam,chaluva,tusharam,himapatam"
te_translit,horse,"gurram,ashwam,graaminam,hayam,turagam"
te_translit,one,"oka,yeka,okka,antey,modati"
te_translit,two,"rendu,dvi,janta,yugmamu,dvayamu"
te_translit,three,"moodu,tri,mullu,muurtulu"
te_translit,four,"naalugu,chaturbhujamu,chaturasramu,naluguru,chaturdasa"
te_translit,five,"aidu,pancha,panchaka,panchama,panchakaramu"
te_translit,six,"aaru, shanmu,sankhya,aruvainadi"
te_translit,seven,"edu,sapta,saata,saptama,saaptamu"
te_translit,eight,"enimidi,ashta,ashtama,enimido,ashtakamu"
te_translit,nine,"tommidi,nava,naalugaidu,nayidu,navamu"
te_translit,ten,"padhi,dhasha,dasaku,panchadasa,dasamantamu"
te_translit,head,"thala,shirassu,adhipati,nayakudu,mukhyudu"
te_translit,shop,"dukaanam,angadi,vyaapaarasadanam,vartakasadanam,hottle"
te_translit,strip,"patti,theega,daaram,parimaanam,patta"
te_translit,street,"veedhi,roddu,maargam,pankthi,pattanam"
te_translit,part,"bhaagam,amsam,vibhagam,bhagaswamyam,paatra"
te_translit,eye,"kannu,akshi,chakshuvu,netram,nayanam"
te_translit,field,"maidaanam,rangam,praantam,bhoomi,polam"
te_translit,site,"sthalam,pradaesam,sthaanam,jaaga,samsthalaku"
te_translit,dance,"nrutyam,natyam,taandavam,lasyam,abhinayam"
te_translit,word,"padam,sabdam,vachanam,aksharam,padyam"
te_translit,pair,"jatha,janta,yugmam,dampatulu,samuuham"
te_translit,seat,"seatu,aasanam,kurchi,peetham,sthaanam"
te_translit,light,"velugu,kaanti,jyothi,deepti,prakaasam"
te_translit,thousand,"veyi,sahasra,ayutam,padiveelu"
te_translit,north,"uttaram,uttaradisa,vayuvyam,vaayuvyadisa,uttaradikku"
te_translit,machine,"yantram,parikaram,upakaranam,vastuvu,sadhanam"
te_translit,time,"samayam,kaalam,vaelha,samayakalam,kshanam"
te_translit,benefit,"prayojanam,laabham,phalitam,pratiphalam,viniyogam"
te_translit,position,"sthaanam,sthithi,padavi,sthaanamu,hodha"
te_translit,province,"praantam,pradaesam,bhubhagam,rashtram,provins"
te_translit,exchange,"marpidi,vartakam,vinimayam,parasparam,ravana"
te_translit,middle,"madhya,madhyabhagam,madhyamam,sagam,majjiga"
te_translit,friend,"mitrudu,snehitudu,chelikaadu,bandhuvu,sahacharudu"
te_translit,color,"rangu,varnam,dhwani,chaaya,varnakam"
te_translit,kind,"manchi,daya,soujanyam,sahrudayam,sneham"
te_translit,judge,"nyaayamuurti,teerpudaaru,vicharakudu,pariseelakudu,nirnetha"
te_translit,school,"paatasaala,vidyaalayam,kalaasaala,vidyaasamstha,kovid"
te_translit,structure,"nirmaanam,aakruti,nirmiti,kattadam,fremu"
te_translit,tie,"tye,mudi,bandham,samaanatvam,kattu"
te_translit,example,"udaaharana,namuna,sandarbham,maadiri,poolika"
te_translit,face,"mukham,mogam,andam,soundaryam,vadanam"
te_translit,bridge,"vantena,setuvu,puli,sambandham,sannihitam"
te_translit,item,"vastuvu,vishayam,padaartham,vastuvulu"
te_translit,delete,"tolaginchu,vadiliveyu,kalchiveyu,naasanancheyu,radducheyu"
te_translit,group,"samuuham,brundam,jattu,brundu,gumpu"
te_translit,talent,"pratibha,chamatkaaram,naipunhyam,neerpu,shakti"
te_translit,beauty,"andam,soundaryam,shobha,laavanyam,chakoram"
te_translit,platform,"vedika,manchi,vidhanam,sthaayi,sthalam"
te_translit,house,"illu,gruham,bhavanam,nivasam,gruhasthaalu"
te_translit,sun,"suuryudu,suuryamu,aadityudu,ravi,bhanudu"
te_translit,meeting,"samavesam,sabha,sammelanam,sangamam,samagamam"
te_translit,history,"charitra,katha,kathanam,vruttaantam,parampara"
te_translit,valley,"loya,kondaata,kandakam,throva,vaagu"
te_translit,square,"chaturasram,vargam,phalakam,chadarapu,aakaram"
te_translit,generation,"taram,peedi,vamsam,kutumbam,pothari"
te_translit,south,"dakshina,nirdakshina,dakshinam,dakshinadisa,dakshinamu"
te_translit,virtue,"gunam,dharmam,neethi,sadgunam,naitikata"
te_translit,tribe,"tega,jaathi,vargam,kulam,samuuham"
te_translit,city,"nagaram,pattanam,nagarii,janapadam,puram"
te_translit,language,"bhaasha,maata,jaathi,yaasa,vachakamu"
te_translit,speed,"vegam,sheeghram,jaaram,chukkani,raftaram"
te_translit,ground,"naela,bhoomi,maidaanam,praantam,bhubhagam"
te_translit,advance,"abhivruddhi,purogati,munduku,perugudala,cherukovadam"
te_translit,attempt,"prayatnam,prayatninchu,cheyadam,prayatninchuta,chudadam"
te_translit,defeat,"otami,nashtam,parabhavam,parajayam,apajayam"
te_translit,tail,"thoka,puccham,pidam,puucham,pucchi"
te_translit,mother,"talli,janani,amma,maata,janayitri"
te_translit,east,"thoorpu,puurvam,puurvadisa,diguva,praachi"
te_translit,return,"tirigiraavadam,tirigivacchu,pratiphalam,tirugubaatu,vaapasu"
te_translit,speech,"upanyaasam,prasangam,maata,vaakyam,bhaashanam"
te_translit,child,"pillavadu,bidda,sisuvu,santaanam,baaludu"
te_translit,tower,"bhavanam,gopuram,koota,maeda,buruju"
te_translit,hair,"juttu,keshamu,kommu,ventrukalu,kurulu"
te_translit,household,"kutumbam,illu,gruham,aavasam,gruhasthaasramam"
te_translit,person,"vyakti,manishi,jeevi,manavudu,jeevudu"
te_translit,section,"vibhagam,bhaagam,prakarana,adhyayam,khandam"
te_translit,official,"adhikaarika,sattaayita,prabhutva,praatinidhya,aadhikaarikamaina"
te_translit,hundred,"vanda,nooru,satamu,satakamu"
te_translit,office,"karyalayam,karyalayamu,kacheri,bhavanam,samstha"
te_translit,rock,"raai,shila,parvatam,konda,bandarayi"
te_translit,rise,"perugu,lechiravadam,egaradam,paikiravadam,vachiraavadam"
te_translit,left,"edama,vaama,arupu,edamavaipu,vamapaksham"
te_translit,sound,"dhwani,sabdam,chappudu,saddu,maata"
te_translit,power,"shakti,balam,adhikaram,samarthyam,sattaa"
te_translit,summer,"vesavi,venneri,chemma,kalikalam"
