lang,word_original,word_translation,blank_prompt_translation_masked
ml,pond,"குளம், ஏரி, தடாகம், கெட்டி, செறிவு","ஒரு """"___"""" நிலையான நீரின் ஒரு சிறிய உடல். பதில்: ""குளம்""."
ml,sand,"மணல், மண், பவளம், மாவு, பொடி","ஒரு """"___"""" கடற்கரையில் கோட்டைகளைக் கட்டப் பயன்படுத்தப்படுகிறது. பதில்: ""மணல்""."
ml,river,"ஆறு, நதி, கால்வாய், ஓடை, அருவி","ஒரு ""___"" என்பது பெரிய, பாயும் நீரின் ஒரு உடல் ஆகும், அது வழக்கமாக கடல் அல்லது சமுத்திரத்தில் கலக்கிறது. பதில்: ""ஆறு""."
ml,law,"சட்டம், விதி, தர்மம், நியதி, நீதி","ஒரு """"___"""" என்பது குற்றம், வணிக ஒப்பந்தங்கள் மற்றும் சமூக உறவுகளுடன் விளையாட ஒரு சமுதாயம் அல்லது அரசாங்கம் உருவாக்கும் விதிகளின் ஒரு அமைப்பாகும். பதில்: ""சட்டம்""."
ml,wave,"அலை, திரைப்பு, செலப்பு, நடுக்கம், தாக்கம்","ஒரு ""___"" என்பது பொருள் அல்லது வெளிவெளியில் ஆற்றலை அனுப்பும் ஒரு இடையூறு ஆகும். பதில்: ""அலை""."
ml,ocean,"கடல், சமுத்திரம், பெருங்கடல், அலை, வருணம்","ஒரு """"___"""" என்பது பூமியின் பெரும்பகுதி மேற்பரப்பை மூடும் உப்பு நீரின் பெரிய திட்டு ஆகும். பதில்: ""கடல்""."
ml,cave,"குகை, குகையறை, குகைகள், குகையில், குகைகளில்","ஒரு ""___"" மனிதர் நுழையும் அளவுக்கு பெரிய இயற்கை நிலத்தடி வெளி. பதில்: ""குகை""."
ml,sea,"கடல், சமுத்திரம், பெருங்கடல், அலை, வருணம்","ஒரு """"___"""" என்பது ஒரு பெரிய உப்புநீர் அமைப்பாகும், இது ஒரு பெருங்கடலை விட சிறியது. பதில்: ""கடல்""."
ml,lake,"ஏரி, குளம், தடாகம், கடல், குடத்தை","ஒரு """"___"""" நிலத்தைச் சுற்றியுள்ள நீரின் பெரிய உடலாகும். பதில்: """"ஏரி""""."
ml,source,"மூலம், ஆதாரம், பொருள், காரணம், பதவி","ஒரு ""___"" தகவல் அல்லது தரவை வழங்குவதற்கு பயன்படுத்தப்படுகிறது. பதில்: ""மூலம்""."
ml,fire,"நெருப்பு, தீ, அக்கினி, கனல், சுடர்","ஒரு ""___"" சமைப்பதற்கும் சூடு தருவதற்கும் பயன்படுத்தப்படுகிறது. பதில்: ""நெருப்பு""."
ml,point,"புள்ளி, குறிப்பு, பகுதி, இடம், முனை","ஒரு """"___"""" என்பது விண்வெளியில் ஒரு குறிப்பிட்ட இடமாகும். பதில்: ""புள்ளி""."
ml,version,"பதிப்பு, வடிவம், பதிப்பினம், வேறுபாடு, மாற்றம்","ஒரு ""___"" ஏதோ ஒன்றின் வளர்ச்சியில் வெவ்வேறு வடிவங்களையோ அல்லது நிலைகளையோ குறிக்கப் பயன்படுத்தப்படுகிறது. பதில்: ""பதிப்பு""."
ml,ball,"பந்து, கோளம், உருண்டை, காப்பு, கோல்","ஒரு """"___"""" கால்பந்து மற்றும் கூடைப்பந்து போன்ற விளையாட்டுகளை விளையாட பயன்படுத்தப்படுகிறது. பதில்: """"பந்து""""."
ml,painting,"ஓவியம், வரைபடம், படம், சித்திரம், நீர்வர்ணம்","ஒரு """"___"""" சுவரில் தொங்கவிடக்கூடிய ஒரு கலைப்பொருள். பதில்: """"ஓவியம்""""."
ml,station,"நிலையம், சந்திப்பு, முனையம், தடம், வளாகம்","ஒரு ""___"" என்பது ரயில்கள் அல்லது பஸ்கள் பயணிகள் ஏறி அல்லது இறங்க தவறாமல் நிறுத்தும் இடமாகும். பதில்: ""நிலையம்""."
ml,rice,"அரிசி, சோறு, பத்தம், நெல், கதிர்","ஒரு ""___"" என்பது ஒரு தானியமாகும், இது சமைக்கப் பொதுவாகப் பயன்படுத்தப்படுகிறது மற்றும் பல நாடுகளில் அது முக்கிய உணவாகும். பதில்: ""அரிசி""."
ml,red,"சிவப்பு, குங்குமம், செம்மை, வெளிச்சம், கெம்பு","ஒரு """"___"""" என்பது அன்பு மற்றும் ஆர்வத்துடன் அடிக்கடி தொடர்புடைய ஒரு நிறமாகும். பதில்: ""சிவப்பு""."
ml,line,"கோடு, வரிசை, பாதை, கோடுகள், ஓட்டம்","ஒரு ""___"" ஒரு குறுகிய தொடர்ச்சியான மரக்கோல், அதாவது ஒரு பேனா, பென்சில் அல்லது துணியால் உருவாக்கப்பட்டது. பதில்: ""கோடு""."
ml,net,"வலை, நெட், ஜாலம், பின்னல், பொருட்கயிறு","வாலிபால் மற்றும் டென்னிஸ் போன்ற விளையாட்டுகளில் விளையாடும் பகுதியைப் பிரிக்கப் பயன்படுத்தப்படும் ""___"". பதில்: ""வலை""."
ml,flower,"பூ, மலர், அரும்பு, நறுவி, பொதும்பர்","ஒரு """"___"""" பெரும்பாலும் ஒரு பரிசாக வழங்கப்படுகிறது மற்றும் தோட்டங்களில் காணப்படலாம். பதில்: ""பூ""."
ml,tea,"தேநீர், தேயிலை, தேனீர், காபி, பானம்","ஒரு ""___"" ஓய்வு அல்லது சூடு ஆகியவற்றுக்காக அடிக்கடி உட்கொள்ளப்படும் ஒரு பானமாகும். பதில்: ""தேநீர்""."
ml,foot,"கால், பாதம், பாதம், கழல், அடி","ஒரு """"___"""" நடத்தவும் ஓடவும் பயன்படுத்தப்படுகிறது. பதில்: ""கால்""."
ml,gold,"தங்கம், பொன், பொன்ன், கனகம், சுவர்ணம்","ஒரு """"___"""" ஒரு விலைமதிப்பற்ற உலோகமாகும், அது பெரும்பாலும் நகைகளில் பயன்படுத்தப்படுகிறது. பதில்: ""தங்கம்""."
ml,door,"கதவு, வாயில், பாதை, நுழைவாயில், வாசல்","ஒரு அறைக்குள் நுழைவதற்கு அல்லது வெளியேறுவதற்கு """"___"""" பயன்படுத்தப்படுகிறது. பதில்: ""கதவு""."
ml,snow,"பனி, மழைப்பனி, பனித்துளி, சளி, பனிப்பொழிவு","ஒரு """"___"""" ஒரு பனிக்காலத்தில் வானிலிருந்து விழும் ஒரு வகை மழை ஆகும். பதில்: """"பனி""""."
ml,horse,"குதிரை, வீரன், காளை, மாடு, பல்லான்","ஒரு ""___"" என்பது நான்கு கால்களைக் கொண்ட ஒரு பெரிய வீட்டு விலங்காகும், பொதுவாக சவாரி செய்வதற்கும் பந்தயத்திற்கும் பயன்படுத்தப்படுகிறது. பதில்: ""குதிரை""."
ml,one,"ஒன்று, ஒரு, முதல், முதன், தனி","ஒரு ""___"" என்பது பூச்சியத்திற்குப் பிறகும் இரண்டிற்கு முன்பும் வரும் எண்ணாகும். பதில்: ""ஒன்று""."
ml,two,"இரண்டு, ரெண்டு, தொட்டு, இரு, ரண்டு","எண் ""___"" என்பது ஒன்று மற்றும் ஒன்றின் கூட்டுத்தொகையாகும். பதில்: ""இரண்டு""."
ml,three,"மூன்று, முத்து, மூவரி, மும்மாய், மூன்றெண்","இரண்டுக்கு பிறகு வரும் எண் ""___"". பதில்: ""மூன்று""."
ml,four,"நான்கு, கால், செங்கால், நால், நாலு","எண் ""___"" மூன்றிற்குப் பிறகு வரும் முழுஎண். பதில்: ""நான்கு""."
ml,five,"ஐந்து, ஐம்பது, அஞ்சு, ஐந்திணை, ஐம்பது","நான்கு வருவதற்கு பின் வரும் எண் ""___"". பதில்: ""ஐந்து""."
ml,six,"ஆறு, அறு, அறுவது, ஆற்று, அறுவகை","ஐந்திற்கு பிறகு வரும் எண் ""___"". பதில்: ""ஆறு""."
ml,seven,"ஏழு, எழுவாயிரம்","எண் ""___"" ஆறிற்கு பிறகு வருகிறது. பதில்: ""ஏழு""."
ml,eight,"எட்டு, அட்டு, எண்பது, அஷ்ட, எழுபத்தைந்து","எண் ""___"" ஏழுக்குப் பிறகு வருகிறது. பதில்: ""எட்டு""."
ml,nine,"ஒன்பது, நவம், நெஞ்சு, தொள்ளாயிரம்","எட்டிற்கு அடுத்து வரும் எண் ""___"". பதில்: ""ஒன்பது""."
ml,ten,"பத்து, இரண்டுபத்தி, பதினொன்றில்லை, பத்துக்கு, தசமம்","ஒன்று பத்தின் பின் வரும் எண் ""___"". பதில்: ""பத்து""."
ml,head,"தலை, தலைமை, முனை, கணு, மூளை","ஒரு """"___"""" மூளை, கண்கள், செவிகள், மூக்கு, வாய் ஆகியவற்றைக் கொண்ட உடலின் ஒரு பகுதியாகும். பதில்: ""தலை""."
ml,shop,"கடை, அங்காடி, விற்பனையாளர், வியாபாரம், பண்டகம்","ஒரு ""___"" என்பது பொருட்களையோ அல்லது சேவைகளையோ வாங்க முடியும் ஒரு இடம். பதில்: ""கடை""."
ml,strip,"பட்டை, கரை, பகுதி, துண்டு, பட்டா","ஒரு ""___"" ஒரு குறிப்பிட்ட பொருளின் நீண்ட, குறுகிய துண்டு. பதில்: ""ஸ்ட்ரிப்""."
ml,street,"தெரு, வீதி, சாலை, பாதை, வழி","ஒரு """"___"""" ஒரு நகரம், நகரம் அல்லது கிராமத்தில் ஒரு பொது சாலையாகும். பதில்: ""தெரு""."
ml,part,"பகுதி, பாகம், பகுத்தளம், துணை, பிரிவு","ஒரு """"___"""" முழுமையாக ஆக்கப்படுவதற்கு பயன்படுத்தப்படுகிறது. பதில்: ""பகுதி""."
ml,eye,"கண், கண்ணாடி, பார்வை, நேத்திரம், காட்சி","ஒரு """"___"""" என்பது எங்களைச் சுற்றி இருப்பதை அனைத்தையும் பார்ப்பத�்கு பயன்படுத்தப்படுகிறது. பதில்: ""கண்""."
ml,field,"வயல், புலம், திடல், களம், பகுதி","ஒரு ""___"" என்பது பயிர்கள் வளர்க்கப்படும் திறந்தவெளி நிலப்பரப்பாகும். பதில்: ""வயல்""."
ml,site,"இடம், இணையதளம், தளம், ஸ்தலம், நிலம்","ஒரு ""___"" என்பது ஏதோ ஒன்று உள்ள, இருந்தது அல்லது கட்டப்படபோகும் இடமாகும். பதில்: ""தளம்""."
ml,dance,"நடனம், ஆடல், அசைவு, தாளம், குதிரையாட்டம்","ஒரு ""___"" என்பது உடலின் இயக்கத்தை உள்ளடக்கிய கலையின் ஒரு வடிவமாகும், பொதுவாக தாளமாகவும் இசைக்கும். பதில்: ""நடனம்""."
ml,word,"சொல், வார்த்தை, மொழி, கிளவி, கூற்று","ஒரு ""___"" என்பது பேசவோ எழுதவோ பயன்படும் தனித்துவமான பொருளுடன் ஒரு கூறு ஆகும், இது ஒரு வாக்கியத்தை உருவாக்க உதவுகிறது மற்றும் பொதுவாக இடைவெளியுடன் காட்டப்படுகிறது. பதில்: ""வார்த்தை""."
ml,pair,"ஜோடி, இரட்டை, தம்பதி, சோடி, துணை","ஒரு """"___"""" என்பது இணையாகப் பயன்படுத்தப்படும் அல்லது ஒரு அலகாகக் கருதப்படும் இரண்டு விஷயங்களின் தொகுப்பாகும். பதில்: ""ஜோடி""."
ml,seat,"இருக்கை, அமர்வு, ஆசனம், திண்டு, திணை","ஒரு """"___"""" அமர்ந்து ஓய்வெடுக்க பயன்படுத்தப்படுகிறது. பதில்: ""இருக்கை""."
ml,light,"ஒளி, வெளிச்சம், சொர்ணம், ஜொலிக்கம்","ஒரு """"___"""" இருள் இடங்களை ஒளிரச் செய்ய பயன்படுத்தப்படுகிறது. பதில்: ""ஒளி""."
ml,thousand,"ஆயிரம், வெள்ளம், பல்லாயிரம், ஆயிரத்து, சிவாயிரம்","ஒரு ""___"" என்பது தொன்னூற்று தொண்ணூற்று ஒன்றுக்குப் பிறகு வரும் எண்ணியல் மதிப்பாகும். பதில்: ""ஆயிரம்""."
ml,north,"வடக்கு, வடம், வடபகுதி, வடப்பக்கம், வடநாடு","வடக்கு ""___"" என்பது பெரும்பாலும் குளிர் மற்றும் துருவ பிரதேசங்களுடன் தொடர்புடைய கர்டினல் திசையாகும். பதில்: ""வடக்கு""."
ml,machine,"இயந்திரம், கருவி, பொறி, யானை, சாதனம்","ஒரு ""___"" ஒரு குறிப்பிட்ட பணியைச் செய்ய அல்லது ஏதோவொன்றை உருவாக்க பயன்படுத்தப்படுகிறது. பதில்: ""இயந்திரம்""."
ml,time,"நேரம், காலம், தருணம், சமயம், காலம்","ஒரு ""கடிகாரம்"" என்பது ""___"" அளவிட பயன்படுத்தப்படுகிறது. பதில்: ""நேரம்""."
ml,benefit,"நன்மை, பயன், பலன், அனுகூலம், சலுகை","ஒரு ""___"" என்பது நல்வாழ்வை மேம்படுத்துவது அல்லது ஊக்குவிப்பதாகும். பதில்: ""நன்மை""."
ml,position,"நிலை, இடம், நிலையம், பதவி, மதிப்பு","ஒரு ""___"" என்பது ஒருவரோ அல்லது ஏதோ ஒன்றோ அமைந்துள்ள அல்லது வைக்கப்பட்டுள்ள இடமாகும். பதில்: ""நிலை""."
ml,province,"மாகாணம், மாநிலம், பிரதேசம், பகுதி, பகுத்தரம்","ஒரு ""___"" என்பது குறிப்பிட்ட நாடுகள் அல்லது பேரரசுகளின் முக்கிய நிர்வாக பிரிவாகும். பதில்: ""மாகாணம்""."
ml,exchange,"பரிமாற்றம், பரிவர்த்தனை, மாற்று, பரிமாறு, ஒப்படை","ஒரு ""___"" என்பது பங்குகள், பத்திரங்கள் அல்லது பிற பத்திரங்கள் வாங்கப்பட்டு விற்கப்படும் இடமாகும். பதில்: ""பரிமாற்றம்""."
ml,middle,"நடு, இடை, மத்திய, நடுவ, மத்தியில்","ஒரு பொருளின் பக்கங்கள் அல்லது வெளிப்புற எல்லைகளில் இருந்து சமமாக தொலைவில் உள்ள புள்ளியாக ""___"" உள்ளது. பதில்: ""நடுப்பகுதி""."
ml,friend,"நண்பன், தோழன், தோழி, சிநேகிதன், உறவினர்","ஒரு ""___"" என்பது ஒரு நெருக்கமான தனிப்பட்ட உறவை நீங்கள் பகிர்ந்து கொள்பவர். பதில்: ""நண்பர்""."
ml,color,"நிறம், வண்ணம், நிரம், வர்ணம், பட்டு","ஒரு """"___"""" பொருட்களின் தோற்றத்தை அடையாளம் காணவோ அல்லது விவரிக்கவோ பயன்படுத்தப்படுகிறது. பதில்: """"நிறம்""""."
ml,kind,"அன்பு, இனிமை, நட்பு, கருணை, பண்பு","ஒரு """"___"""" என்பது ஏதோ ஒன்றின் வகை அல்லது வகையாகும். பதில்: """"வகை""""."
ml,judge,"நீதிபதி, மதிப்பீடு, தீர்ப்பாயர், நடுவர், முடிவுசெய்பவர்","ஒரு ""___"" என்பவர் ஒரு நீதிபதி களின் குழுவின் ஒரு பகுதியாக அல்லது தனியாக நீதிமன்ற விசாரணைகளுக்கு தலைமை தாங்குபவர் ஆவார். பதில்: ""நீதிபதி""."
ml,school,"பள்ளி, கல்விக்கூடம், கல்லூரி, வி஦்தியாசாலை, அகாதமி","ஒரு ""___"" என்பது மாணவர்கள் கற்றுக்கொள்ள செல்லும் இடம். பதில்: ""பள்ளி""."
ml,structure,"கட்டமைப்பு, அமைப்பு, உள்ளமைப்பு, கட்டடம், அமைதி","ஒரு ""___"" என்பது ஒரு குறிப்பிட்ட நோக்கம் அல்லது செயல்பாட்டைக் கொண்ட ஒரு கட்டுமானமாகும். பதில்: ""கட்டமைப்பு""."
ml,tie,"தொடை, பட்டை, கட்டு, பிணை, பிணி","ஒரு """"___"""" முறையான உடையின் ஒரு பகுதியாக கழுத்தில் அணிந்து செல்லப்படுகிறது. பதில்: ""டை""."
ml,example,"எடுத்துக்காட்டு, உதாரணம், விளக்கம், சான்று, முன்மாதிரி","ஒரு ""___"" ஒரு புள்ளியையோ அல்லது கருத்தையோ விளக்க பயன்படுத்தப்படுகிறது. பதில்: ""உதாரணம்""."
ml,face,"முகம், மொழுமொழுக்கு, வடிவம், தோற்றம், படம்","ஒரு """"___"""" நெற்றி, கண்கள், மூக்கு மற்றும் வாய் உள்ளிட்ட ஒரு நபரின் தலையின் முன் பகுதியாகும். பதில்: ""முகம்""."
ml,bridge,"பாலம், சேது, பாலமாற்று, திட்டு, அணை","ஒரு ""___"" ஆறுகள் அல்லது சாலைகள் போன்ற தடைகளால் பிரிக்கப்பட்ட இரண்டு பகுதிகளை இணைக்கப் பயன்படுத்தப்படுகிறது. பதில்: ""பாலம்""."
ml,item,"பொருள், பண்டம், வஸ்து, கருவி, பொருட்கள்","ஒரு """"___"""" என்பது குறிப்பிடப்படாத அல்லது அடையாளம் காணப்படாத ஒன்றாகும். பதில்: ""பொருள்""."
ml,delete,"அழிக்க, நீக்க, களை, மறைக்க, துடை","ஒரு ""___"" என்பது வரிகளை அல்லது தரவை அகற்றுவதற்கு பயன்படுத்தப்படுகிறது. பதில்: ""தொடர் அழித்தல்""."
ml,group,"குழு, இடம், அணி, தொகுதி, கூட்டம்","ஒரு """"___"""" என்பது ஒன்றாக அமைக்கப்பட்ட, கூடிய அல்லது ஒன்றாக வகைப்படுத்தப்பட்ட மக்கள் அல்லது பொருட்களின் எண்ணிக்கையாகும். பதில்: ""குழு""."
ml,talent,"திறமை, ஆற்றல், படைப்பு, புலமை, சாதனை","ஒரு ""___"" ஒரு இயற்கை திறமை அல்லது திறன். பதில்: ""திறமை""."
ml,beauty,"அழகு, வடிவு, அணிகலன், பொலிவு, ஒளி","""""___"""" என்பது ஒரு இயல்பு ஆகும், இது மகிழ்ச்சி அல்லது திருப்தியின் உணர்வு அனுபவத்தை வழங்குகிறது. பதில்: ""அழகு""."
ml,platform,"தளம், மண்டபம், தலையணை, பலகை, தளம்","ஒரு """"___"""" என்பது ஏதோ ஒன்றைத் தாங்குவதற்கு அல்லது உயர்த்துவதற்கு பயன்படுத்தப்படுகிறது. பதில்: ""தளம்""."
ml,house,"வீடு, இல்லம், மனை, அறை, கோவில்","ஒரு ""___"" என்பது மக்கள் வசிக்கும் இடமாகும். பதில்: ""வீடு""."
ml,sun,"சூரியன், கதிரவன், சூர்யன், பகலவன், கதிரவன்","சூரிய குடும்பத்தின் மையத்தில் உள்ள ""___"" என்பது பூமிக்கு ஒளி மற்றும் வெப்பத்தை வழங்கும் ஒரு நட்சத்திரம். பதில்: ""சூரியன்""."
ml,meeting,"கூட்டம், மன்றம், அமர்வு, கலந்தாலோசிப்பு, சந்திப்பு","ஒரு ""___"" என்பது ஒரு குறிப்பிட்ட நோக்கத்திற்காக மக்கள் கூடும் ஒரு கூட்டம், பெரும்பாலும் விவாதத்திற்காக அல்லது முடிவெடுக்கும் பொருட்டு. பதில்: ""கூட்டம்""."
ml,history,"வரலாறு, சரிதம், கதை, செய்தி, பதிவு","மனித விவகாரங்களில் குறிப்பாக கடந்த கால நிகழ்வுகளின் ஆய்வு ""___"" என அழைக்கப்படுகிறது. பதில்: ""வரலாறு""."
ml,valley,"பள்ளத்தாக்கு, கம்பளம், கிராமம், பகுதி, நதி","ஒரு ""___"" என்பது பொதுவாக ஒரு நதியைக் கொண்ட குன்றுகள் அல்லது மலைகளுக்கு இடையில் உள்ள தாழ்வான பகுதியாகும். பதில்: ""பள்ளத்தாக்கு""."
ml,square,"சதுரம், கட்டம், சமச்சீர், நாற்கரம், சீர்க்கட்டம்","ஒரு ""___"" என்பது நான்கு சமமான பக்கங்கள் மற்றும் நான்கு செங்குத்து கோணங்களைக் கொண்ட ஒரு வடிவமாகும். பதில்: ""சதுரம்""."
ml,generation,"தலைமுறை, காலம், சந்ததி, குலம், வம்சம்","ஒரு """"___"""" என்பது ஒரே நேரத்தில் பிறந்து வாழும் அனைத்து மக்களையும் விவரிக்க பயன்படுத்தப்படும் ஒரு சொல். பதில்: ""தலைமுறை""."
ml,south,"தெற்கு, தென், தென்பகுதி, தென்னாடு, தென்மண்டலம்","வடதிசைக்கு எதிர்மறையான """"___"""" கர்தினல் திசை ஆகும். பதில்: ""தெற்கு""."
ml,virtue,"நற்பண்பு, குணம், புண்ணம், நன்மை, ஒழுங்கு","ஒரு """"___"""" என்பது ஒரு நபருக்கு நெறிமுறை ரீதியாக நல்லது அல்லது விரும்பத்தக்கது என்று கருதப்படும் ஒரு பண்பு. பதில்: ""நற்பண்பு""."
ml,tribe,"கூட்டம், இனம், சமூகம், குலம், பழங்குடி","ஒரு ""___"" என்பது சமூக, பொருளாதார, மத அல்லது இரத்த உறவுகளால் இணைக்கப்பட்ட குடும்பங்கள் அல்லது சமூகங்களைக் கொண்ட ஒரு பாரம்பரிய சமுதாயத்தில் ஒரு சமூக பிரிவாகும். பதில்: ""பழங்குடி""."
ml,city,"நகரம், பட்டினம், ஊர், பூமி, மாநகரம்","ஒரு """"___"""" என்பது மக்கள் வசிக்கவும், வேலை செய்யவும் ஒரு பெரிய மனித குடியிருப்பு ஆகும். பதில்: """"நகரம்""""."
ml,language,"மொழி, பேச்சு, வழக்கு, பயன்பாடு, கீழ்மை","ஒரு """"___"""" என்பது எண்ணங்களையும் யோசனைகளையும் தெரிவிக்க பயன்படுத்தப்படுகிறது. பதில்: ""மொழி""."
ml,speed,"வேகம், சீருந்தை, துரிதம், விரைவு, வெகுடை","ஒரு """"___"""" ஏதோ ஒன்று எந்த அளவு வேகமாக நகர்கிறது என்பதை அளவிட பயன்படுத்தப்படுகிறது. பதில்: ""வேகம்""."
ml,ground,"தரை, மண், நிலம், புவி, பூமி","ஒரு """"___"""" என்பது எங்கள் நடந்து வீடுகளைக் கட்டும் இடம். பதில்: ""தரை""."
ml,advance,"முன்னேற்றம், வளர்ச்சி, புரட்சி, முன்னேறு, வளர்ச்சி","""""___"""" என்பது முன்னேறுவதற்கு அல்லது முன்னேற்றத்தை ஏற்படுத்துவதற்கு வழங்கப்படும் சொல்லாகும். பதில்: ""முன்னேற்றம்""."
ml,attempt,"முயற்சி, செயல், இயக்கம், கொடுப்பது, முனைப்பு","ஒன்றை அடைய முயற்சிக்கும்போது ""___"" செய்யப்படுகிறது. பதில்: ""முயற்சி""."
ml,defeat,"தோல்வி, நிலைகுலைவு, வீழ்ச்சி, தோற்றம், நடுக்கம்","ஒரு போட்டி அல்லது போரை இழக்கும்போது ""___"" அனுபவிக்கப்படுகிறது. பதில்: ""தோல்வி""."
ml,tail,"வால், தோகை, அடி, பின்புறம், கீழ்ப்பகுதி","ஒரு ""___"" ஒரு விலங்கின் உடலின் ஒரு பகுதியாகும், இது முதுகெலும்பின் அடிப்பகுதியிலிருந்து நீட்டிக்கிறது. பதில்: ""வால்""."
ml,mother,"தாய், அன்னை, அம்மா, மாதா, ஜனனி","ஒரு """"___"""" என்பது ஒரு குழந்தையை ஈன்ற ஒரு பெண். பதில்: ""தாய்""."
ml,east,"கிழக்கு, செம்மை, தெற்குகிழக்கு, கீழ்க்கிழக்கு, ஏற்காடு","மேற்கின் எதிர்மறையான ""___"" ஒரு முதன்மை திசையாகும். பதில்: ""கிழக்கு""."
ml,return,"திரும்பு, திருப்பு, மீளு, மீட்டல், திருப்பி","ஒரு ""___"" வாங்கப்பட்ட பொருளைத் திருப்பித் தருவதற்குப் பயன்படுத்தப்படுகிறது. பதில்: ""திரும்பப் பெறுதல்""."
